,City,Cloudiness,Country,Date,Humidity,Lat,Long,Max Temp,Wind Speed
42,Cabo San Lucas,5,MX,1564856241,49,22.89,-109.91,35.0,3.1
43,Doha,0,QA,1564856242,71,25.29,51.53,36.0,3.1
44,Haines Junction,46,CA,1564856243,42,60.75,-137.51,16.49,2.48
45,Kapaa,90,US,1564856243,74,22.08,-159.32,28.0,5.7
46,Mabaruma,68,GY,1564856244,89,8.2,-59.78,28.69,1.93
47,Victoria,75,BN,1564856109,94,5.28,115.24,26.0,0.5
48,Ponta do Sol,93,BR,1564856245,54,-20.63,-46.0,22.49,2.24
49,Valera,43,VE,1564856245,66,9.31,-70.61,30.29,3.96
50,Genhe,22,CN,1564856246,76,50.78,121.52,12.89,0.39
51,Punta Arenas,20,CL,1564856182,65,-53.16,-70.91,7.0,12.3
52,Talnakh,0,RU,1564856135,63,69.49,88.39,16.0,5.0
53,Bilma,13,NE,1564856248,25,18.69,12.92,36.79,4.53
54,Reconquista,1,AR,1564856249,33,-29.14,-59.64,16.39,2.29
55,Thompson,75,CA,1564856250,60,55.74,-97.86,23.0,2.6
56,Ribeira Grande,40,PT,1564856250,78,38.52,-28.7,25.0,6.7
57,Dibai,71,IN,1564856251,62,28.21,78.26,31.09,2.53
58,Yellowknife,75,CA,1564856251,63,62.45,-114.38,18.0,6.2
59,Pocone,42,BR,1564856251,22,-16.26,-56.62,24.59,4.29
60,Gouyave,20,GD,1564856252,74,12.16,-61.73,30.0,5.1
61,Bulungu,58,CD,1564856252,33,-4.54,18.6,30.89,1.53
62,Acapulco,5,MX,1564856253,59,16.86,-99.88,32.0,2.1
63,Tuktoyaktuk,75,CA,1564856253,71,69.44,-133.03,14.0,8.7
64,Cap Malheureux,40,MU,1564856254,68,-19.98,57.61,22.0,4.6
65,Mar del Plata,100,AR,1564856045,49,-46.43,-67.52,10.49,12.68
66,Kahului,20,US,1564856085,83,20.89,-156.47,25.56,1.5
67,Saint Anthony,1,US,1564856256,26,43.97,-111.68,28.89,2.1
68,Cidreira,0,BR,1564856257,51,-30.17,-50.22,13.59,7.28
69,Mnogovershinnyy,0,RU,1564856257,92,53.94,139.92,13.59,3.13
70,Port Elizabeth,20,US,1564856255,65,39.31,-74.98,32.22,2.6
71,Rocha,27,UY,1564856258,61,-34.48,-54.34,9.89,6.66
72,Bluff,0,AU,1564856259,77,-23.58,149.07,13.19,3.48
73,Codrington,90,AU,1564856260,93,-28.95,153.24,10.56,3.1
74,Bethel,90,US,1564856260,100,60.79,-161.76,14.0,9.3
75,Fomboni,39,KM,1564856261,74,-12.28,43.74,24.79,4.04
76,Saldanha,0,PT,1564856261,24,41.42,-6.55,30.99,7.05
77,Springdale,90,US,1564856261,100,36.19,-94.13,26.67,3.6
78,Cabedelo,75,BR,1564856262,94,-6.97,-34.84,24.0,9.3
79,Butaritari,99,KI,1564856262,70,3.07,172.79,29.19,3.83
80,Hermanus,0,ZA,1564856263,87,-34.42,19.24,13.33,0.45
81,Kupang,10,ID,1564856263,76,-10.16,123.6,22.89,7.46
82,Airai,0,TL,1564856264,79,-8.93,125.41,17.29,2.54
83,Broken Hill,28,AU,1564856264,85,-31.97,141.45,4.0,3.6
84,Bambous Virieux,40,MU,1564856265,68,-20.34,57.76,22.0,4.6
85,Sungaipenuh,70,ID,1564856266,95,-2.08,101.38,21.39,1.36
86,Perth,90,AU,1564856159,93,-31.95,115.86,15.56,1.5
87,Qaanaaq,26,GL,1564856267,58,77.48,-69.36,7.29,0.44
88,Samarai,100,PG,1564856268,92,-10.62,150.67,22.69,4.16
89,Aleksandrov Gay,52,RU,1564856268,83,50.14,48.57,14.79,3.37
90,Evensk,100,RU,1564856269,77,61.92,159.24,10.29,1.44
91,Kodiak,40,US,1564856274,57,39.95,-94.76,28.89,1.5
92,Tuatapere,91,NZ,1564856275,58,-46.13,167.69,6.39,14.69
93,Nikolskoye,75,RU,1564856275,66,59.7,30.79,13.0,5.0
94,Hithadhoo,67,MV,1564855993,78,-0.6,73.08,29.09,6.9
95,Abnub,0,EG,1564856276,16,27.27,31.15,33.49,4.97
96,Athabasca,100,CA,1564856277,69,54.72,-113.29,15.09,4.7
97,Vao,65,EE,1564856277,60,59.1,26.19,12.69,1.97
98,Saint-Philippe,90,CA,1564856278,42,45.36,-73.48,28.33,7.2
99,Chuy,17,UY,1564856278,54,-33.69,-53.46,10.59,7.33
100,Norman Wells,90,CA,1564856279,82,65.28,-126.83,15.0,2.1
101,Maceio,40,BR,1564856280,57,-9.67,-35.74,27.0,6.7
102,Sisimiut,5,GL,1564856281,84,66.94,-53.67,6.59,7.59
103,Goure,33,NE,1564856281,34,13.98,10.27,33.79,1.55
104,Luba,98,PH,1564856282,95,17.32,120.7,22.99,1.34
105,Mayo,75,CA,1564856282,49,63.59,-135.9,21.0,2.6
106,Castro,75,CL,1564856283,93,-42.48,-73.76,8.0,3.1
107,Saint George,20,GR,1564856283,27,39.45,22.34,34.0,8.7
108,Rujewa,52,TZ,1564856284,48,-8.7,34.38,21.89,4.8
109,Constitucion,20,MX,1564856284,36,23.99,-104.67,26.11,6.48
110,Longyearbyen,20,NO,1564856196,70,78.22,15.63,9.0,2.6
111,Torbay,20,CA,1564856285,44,47.66,-52.73,25.56,6.7
112,Tambacounda,0,SN,1564856286,60,13.77,-13.67,36.0,5.1
113,Mana,49,NG,1564856287,54,13.03,5.27,29.79,2.74
114,Chandbali,87,IN,1564856291,76,20.77,86.74,27.99,3.58
115,Haradok,40,BY,1564856292,87,55.46,29.99,11.39,2.08
116,Chumikan,12,RU,1564856292,89,54.72,135.31,12.09,0.94
117,Kropotkin,34,RU,1564856293,48,45.43,40.58,20.89,2.22
118,Caravelas,0,BR,1564856294,76,-17.73,-39.27,23.69,5.05
119,Laguna,20,BZ,1564856294,70,16.17,-88.94,31.0,3.1
120,Banjar,62,ID,1564856295,90,-7.37,108.54,20.29,1.14
121,Biak,100,ID,1564856295,96,-0.91,122.88,13.79,2.33
122,Gabu,41,CN,1564856296,80,34.78,103.0,6.19,1.31
123,Khatanga,100,RU,1564856296,83,71.98,102.47,15.59,2.52
124,Gazojak,100,TM,1564856297,24,41.19,61.4,28.39,5.85
125,Vaini,100,IN,1564856297,91,15.34,74.49,25.19,3.08
126,Mirante do Paranapanema,0,BR,1564856298,39,-22.29,-51.91,19.0,3.1
127,Bonfim,19,GY,1564856298,48,3.36,-59.84,32.89,2.81
128,Barrow,0,AR,1564856298,34,-38.31,-60.23,15.09,3.14
129,Dikson,100,RU,1564856299,94,73.51,80.55,3.79,8.79
130,Bathsheba,40,BB,1564856299,66,13.22,-59.52,31.0,8.7
131,Puerto Ayora,75,EC,1564856300,69,-0.74,-90.35,24.0,3.1
132,Nanakuli,90,US,1564856300,74,21.39,-158.15,29.0,1.5
133,Bubaque,64,GW,1564856301,80,11.28,-15.83,27.19,5.16
134,Ibadan,86,NG,1564856301,92,7.38,3.9,23.69,2.4
135,Kaitangata,69,NZ,1564856302,80,-46.28,169.85,1.11,1.79
136,Qaqortoq,40,GL,1564856303,62,60.72,-46.03,21.0,3.1
137,Buala,100,SB,1564856303,86,-8.15,159.59,26.19,6.77
138,La Reforma,40,MX,1564856304,59,25.08,-108.06,35.0,2.6
139,Geraldton,75,CA,1564856304,52,49.72,-86.95,21.0,2.1
140,Tsaratanana,5,MG,1564856305,79,-16.8,47.65,16.69,5.21
141,Hamilton,20,CA,1564856306,54,43.26,-79.87,30.0,1.0
142,Mpanda,87,BI,1564856306,63,-3.17,29.4,19.69,1.34
143,Nome,40,US,1564856306,55,30.04,-94.42,33.33,1.61
144,Chokurdakh,0,RU,1564856106,88,70.62,147.9,1.29,5.23
145,Price,1,US,1564856307,18,39.6,-110.81,31.0,4.1
146,Tual,38,ID,1564856308,81,-5.67,132.75,24.99,9.78
147,Toora-Khem,18,RU,1564856309,95,52.47,96.11,12.99,0.97
148,East London,0,ZA,1564856150,93,-33.02,27.91,14.0,3.1
149,Larnaca,0,CY,1564856153,78,34.92,33.64,30.0,5.1
150,Emba,20,CY,1564856310,83,34.81,32.42,27.0,3.6
151,Beringovskiy,0,RU,1564856311,77,63.05,179.32,9.19,0.89
152,Karla,0,EE,1564856311,58,59.37,24.93,15.0,2.6
153,Salekhard,65,RU,1564856312,86,66.54,66.62,12.69,4.93
154,Arraial do Cabo,90,BR,1564856313,88,-22.97,-42.02,20.0,6.2
155,Cantaura,83,VE,1564856313,73,9.31,-64.36,30.49,1.28
156,Ocampo,14,MX,1564856314,33,27.32,-102.4,28.29,2.98
157,Cayenne,13,GF,1564856314,94,4.94,-52.33,24.0,3.6
158,Lebu,90,ET,1564856315,87,8.96,38.73,14.0,2.1
159,Zhongshu,99,CN,1564856316,96,24.52,103.77,16.79,2.02
160,Saskylakh,0,RU,1564856316,76,71.97,114.09,8.79,0.86
161,Paamiut,83,GL,1564856317,82,61.99,-49.67,5.49,5.54
162,Slupsk,4,PL,1564856064,74,54.46,17.03,17.39,2.3
163,Vila Velha,40,BR,1564856318,58,-3.71,-38.6,30.0,6.7
164,Soure,75,PT,1564856318,88,40.06,-8.63,23.89,5.7
165,Upernavik,29,GL,1564856319,80,72.79,-56.15,7.19,1.65
166,Ketchikan,90,US,1564856319,82,55.34,-131.65,16.0,6.2
167,Bay City,20,US,1564856320,45,43.59,-83.89,30.56,2.1
168,Kotelnikovo,96,RU,1564856320,55,47.63,43.14,22.79,0.85
169,Ust-Nera,100,RU,1564856321,90,64.57,143.24,4.19,1.77
170,Arlit,96,NE,1564856322,40,18.74,7.39,32.59,13.11
171,Hovd,75,NO,1564856322,63,63.83,10.7,16.67,5.1
172,Alta,0,NO,1564856323,51,69.97,23.27,15.0,7.7
173,Tiksi,0,RU,1564856323,71,71.64,128.87,4.89,1.14
174,Alice Springs,40,AU,1564856213,52,-23.7,133.88,6.0,2.6
175,Glushkovo,64,RU,1564856173,87,51.34,34.64,13.59,2.16
176,Fethiye,0,TR,1564856128,66,36.62,29.12,29.0,1.5
177,Mweka,99,CD,1564856325,68,-4.85,21.56,24.59,0.54
178,Shubarkuduk,85,KZ,1564856326,68,49.15,56.49,16.49,3.47
179,Totma,100,RU,1564856327,90,59.98,42.76,7.19,3.62
180,Usinsk,97,RU,1564856327,90,66.0,57.56,15.69,5.26
181,Baraya,40,NE,1564856328,55,13.54,6.96,31.0,3.1
182,Verkhnyaya Inta,100,RU,1564856329,85,65.99,60.32,15.59,7.28
183,Pevek,99,RU,1564856329,93,69.7,170.27,0.09,4.05
184,San Angelo,1,US,1564856330,36,31.46,-100.44,37.22,5.1
185,Ostrovnoy,100,RU,1564855855,89,68.05,39.51,4.19,11.52
186,Tiarei,75,PF,1564856331,74,-17.53,-149.33,26.0,2.6
187,Ternate,75,PH,1564856332,88,14.29,120.72,29.44,1.5
188,Fortuna,20,ES,1564856332,61,38.18,-1.13,31.11,3.1
189,Tasiilaq,40,GL,1564856333,87,65.61,-37.64,6.0,5.1
190,Abu Dhabi,0,AE,1564855926,67,24.47,54.37,35.0,2.1
191,Cockburn Town,40,TC,1564856334,100,21.46,-71.14,33.0,7.2
192,Ramnagar,100,IN,1564856335,76,27.17,84.33,29.49,3.11
193,Sergeyevka,16,KZ,1564856335,83,53.88,67.42,13.69,3.92
194,Kavieng,100,PG,1564856336,83,-2.57,150.8,26.49,6.77
195,Popova,20,RS,1564856336,73,43.33,21.27,21.0,3.1
196,Avarua,18,CK,1564856050,94,-21.21,-159.78,20.0,2.1
197,Hervey Bay,0,AU,1564856337,87,-25.3,152.85,11.67,3.1
198,Pontal do Parana,0,BR,1564856338,39,-25.67,-48.51,18.0,3.6
199,New Norfolk,75,AU,1564856338,60,-42.78,147.06,6.0,3.6
200,Xuchang,90,CN,1564856339,94,34.03,113.82,25.0,4.0
201,Kuroiso,1,JP,1564856340,74,36.97,140.05,25.56,0.46
202,Kupino,76,RU,1564856340,55,54.36,77.31,18.09,3.48
203,Vista Hermosa,90,MX,1564856341,66,14.92,-92.27,32.0,1.83
204,Ambunti,96,PG,1564856341,98,-4.22,142.82,22.19,0.43
205,Twentynine Palms,40,US,1564856342,9,34.14,-116.05,42.0,1.5
206,Tura,12,RU,1564856342,82,64.27,100.22,8.49,0.93
207,Valleyview,99,CA,1564856343,60,55.07,-117.28,17.29,4.94
208,Halifax,75,CA,1564856344,34,44.65,-63.58,28.89,6.2
209,La Rioja,0,AR,1564856276,22,-29.41,-66.86,12.49,3.07
210,Cancun,75,MX,1564856345,66,21.17,-86.85,31.0,4.1
211,Moron,6,HT,1564856345,70,18.56,-74.26,29.29,0.97
212,Beyneu,17,KZ,1564856346,42,45.32,55.19,23.79,6.01
213,Eyl,62,SO,1564856346,70,7.98,49.82,25.49,9.83
214,Batagay-Alyta,15,RU,1564856347,59,67.8,130.41,5.79,3.89
215,Vardo,75,US,1564856348,55,39.62,-77.74,32.22,1.5
216,Deputatskiy,0,RU,1564856348,78,69.3,139.9,3.89,1.83
217,Fort Nelson,75,CA,1564856349,68,58.81,-122.69,18.0,1.5
218,Puntarenas,90,CR,1564856303,73,9.98,-84.84,24.0,3.1
219,Inhambane,0,MZ,1564856350,88,-23.87,35.38,23.0,3.1
220,Shimizu,20,JP,1564856351,88,35.71,139.62,27.22,4.1
221,Kawambwa,30,ZM,1564856351,57,-9.8,29.07,19.19,1.38
222,Galbshtadt,98,RU,1564856218,45,53.23,78.98,18.49,1.5
223,Dongsheng,94,CN,1564856352,81,29.72,112.52,26.39,2.79
224,Kodinar,100,IN,1564856353,89,20.79,70.7,26.09,7.86
225,Coquimbo,0,CL,1564856353,67,-29.95,-71.34,15.0,5.7
226,Maragogi,38,BR,1564856354,69,-9.01,-35.22,25.79,3.29
227,Touros,40,BR,1564856354,62,-5.2,-35.46,29.0,5.7
228,Ilulissat,40,GL,1564856355,75,69.22,-51.1,7.0,2.6
229,Pingliang,42,CN,1564856356,92,35.54,106.68,14.19,0.51
230,Paka,47,CF,1564856356,96,4.15,15.03,21.29,1.01
231,Willowmore,0,ZA,1564856356,51,-33.3,23.49,9.79,1.54
232,Baykit,0,RU,1564856357,91,61.68,96.39,10.89,2.72
233,Carnarvon,0,ZA,1564856358,20,-30.97,22.13,10.39,1.83
234,Foumban,41,CM,1564856358,90,5.73,10.9,17.79,1.55
235,Nyurba,38,RU,1564856359,97,63.29,118.35,7.19,2.33
236,Neyshabur,45,IR,1564856359,21,36.21,58.79,26.79,6.99
237,Tanem,75,NO,1564856360,63,63.31,10.43,16.67,5.1
238,Vila Franca do Campo,75,PT,1564856360,83,37.72,-25.43,22.0,5.1
239,Bachaquero,100,VE,1564856361,71,9.96,-71.12,28.69,1.19
240,Bredasdorp,1,ZA,1564856361,93,-34.53,20.04,11.11,0.5
241,Turukhansk,57,RU,1564856362,56,65.8,87.96,17.79,7.09
242,Koumac,21,NC,1564856362,71,-20.56,164.28,20.59,6.18
243,Sabha,0,LY,1564856363,18,27.03,14.43,33.69,3.63
244,Teahupoo,75,PF,1564856363,74,-17.83,-149.27,26.0,2.6
245,Mackenzie,90,CA,1564856364,87,55.34,-123.09,12.0,4.1
246,Vanimo,99,PG,1564856365,79,-2.67,141.3,26.69,1.98
247,Belmonte,0,PT,1564856365,36,40.36,-7.35,35.56,4.48
248,Kirakira,97,SB,1564856366,86,-10.46,161.92,25.69,6.87
249,Kalmar,38,SE,1564856366,67,56.66,16.36,17.78,3.1
250,Tiznit,3,MA,1564856367,87,29.7,-9.73,20.19,5.25
251,San Policarpo,100,PH,1564856367,87,12.18,125.51,25.29,5.75
252,Sobolevo,22,RU,1564856368,93,54.43,31.9,10.89,3.15
253,Nanortalik,55,GL,1564856368,69,60.14,-45.24,9.29,2.25
254,Dongfeng,91,CN,1564856369,97,42.67,125.53,20.09,3.3
255,Bonavista,36,CA,1564856369,48,48.65,-53.11,25.0,5.36
256,Faanui,83,PF,1564856370,79,-16.48,-151.75,26.49,9.03
257,Souillac,0,FR,1564856370,31,45.6,-0.6,31.0,0.5
258,Lavrentiya,98,RU,1564856371,87,65.58,-170.99,6.09,12.3
259,Hofn,100,IS,1564856371,93,64.25,-15.21,5.99,1.73
260,Rognan,90,NO,1564856372,76,67.1,15.4,13.33,1.5
261,Eyemouth,100,GB,1564856373,82,55.87,-2.09,19.44,4.63
262,Phichit,100,TH,1564856373,83,16.44,100.37,25.29,1.71
263,Mezen,100,RU,1564856374,93,65.85,44.24,6.49,11.8
264,Meulaboh,98,ID,1564856375,70,4.14,96.13,28.69,1.91
265,Oktyabrskiy,20,RU,1564856107,87,55.61,37.97,13.0,2.0
266,Vanavara,0,RU,1564856376,88,60.35,102.28,11.19,1.13
267,Santiago del Estero,0,AR,1564856376,19,-27.8,-64.26,19.59,5.16
268,Kjopsvik,20,NO,1564856292,71,68.1,16.37,14.0,3.6
269,Guerrero,0,AR,1564856377,24,-24.19,-65.45,19.0,4.1
270,Darnah,0,LY,1564856378,77,32.77,22.64,26.69,10.14
271,Steenokkerzeel,20,BE,1564856378,68,50.91,4.51,21.67,1.0
272,Katrineholm,0,SE,1564856379,45,59.0,16.21,20.0,1.0
273,Lima,90,PE,1564856291,82,-12.06,-77.04,16.0,3.1
274,Owando,80,CG,1564856380,50,-0.49,15.91,28.09,1.22
275,Savinskiy,100,RU,1564856380,94,62.93,40.14,5.09,4.83
276,Yulara,0,AU,1564856303,43,-25.24,130.99,11.0,4.6
277,Mayskiy,40,RU,1564856381,82,43.63,44.06,22.0,2.0
278,Atasu,0,KZ,1564856382,26,48.68,71.64,18.79,1.48
279,San Andres,100,PH,1564856383,94,13.32,122.68,24.79,4.62
280,Golub-Dobrzyn,34,PL,1564856247,63,53.11,19.05,22.78,0.45
281,Yar-Sale,83,RU,1564856384,80,66.83,70.83,14.39,6.04
282,Muros,40,ES,1564856384,73,42.77,-9.06,25.56,4.1
283,Khani,40,GE,1564856385,78,41.96,42.96,23.0,1.5
284,Sorgun,9,TR,1564856386,43,39.81,35.19,21.79,3.06
285,Iqaluit,75,CA,1564856243,81,63.75,-68.52,10.0,2.1
286,Kiama,40,AU,1564856387,75,-34.67,150.86,9.44,6.2
287,Kabelvag,75,NO,1564856090,82,68.21,14.48,13.33,4.1
288,Khartoum,0,SD,1564856257,27,15.59,32.54,37.0,1.0
289,Mogok,99,MM,1564856388,98,22.92,96.51,20.89,1.27
290,Aykhal,75,RU,1564856388,76,65.95,111.51,10.0,2.0
291,Sambava,79,MG,1564856389,98,-14.27,50.17,17.89,1.31
292,Praia,40,BR,1564856389,34,-20.25,-43.81,28.0,1.5
293,Flin Flon,90,CA,1564856390,83,54.77,-101.88,23.0,3.1
294,Beloha,0,MG,1564856391,64,-25.17,45.06,22.89,2.1
295,Gulariya,40,IN,1564856392,71,28.2,81.35,29.69,1.76
296,Victoria,75,BN,1564856392,94,5.28,115.24,26.0,0.5
297,Shostka,46,UA,1564856393,87,51.86,33.47,13.19,1.68
298,Betsiamites,75,CA,1564856394,93,48.94,-68.65,19.0,4.6
299,Hualmay,100,PE,1564856395,86,-11.1,-77.61,15.39,4.54
300,Lincoln,75,GB,1564856272,56,53.23,-0.54,23.33,4.6
301,Yinchuan,60,CN,1564856396,64,38.48,106.21,18.89,0.45
302,Sosnovka,10,RU,1564856102,80,53.23,41.37,11.79,2.95
303,Dali,6,CN,1564856397,89,34.79,109.94,21.89,3.05
304,Umm Kaddadah,26,SD,1564856397,37,13.6,26.69,32.19,4.16
305,Mantua,0,IT,1564856398,48,45.16,10.79,30.0,2.6
306,Rapid Valley,1,US,1564856399,69,44.06,-103.15,28.89,4.6
307,Tawang,100,BT,1564856399,94,27.59,91.87,14.79,1.34
308,Kaifeng,90,CN,1564856399,94,34.8,114.35,25.0,4.0
309,Canyon Lake,1,US,1564856400,19,33.68,-117.26,34.44,1.5
310,Grand Gaube,40,MU,1564856400,68,-20.01,57.66,22.0,4.6
311,Sao Jose da Coroa Grande,38,BR,1564856401,69,-8.9,-35.15,25.79,3.29
312,Arman,100,RU,1564856401,91,59.7,150.17,7.79,0.84
313,Praya,75,ID,1564856402,83,-8.71,116.27,22.0,1.5
314,Upata,24,VE,1564856402,79,8.02,-62.41,28.49,0.95
315,La Ronge,75,CA,1564856403,78,55.1,-105.3,22.0,8.2
316,Harper,1,US,1564856403,46,30.3,-99.24,34.44,3.1
317,Boguchany,8,RU,1564856404,84,58.38,97.46,16.19,1.47
318,Mandiana,15,GN,1564856404,83,10.62,-8.7,27.39,2.0
319,Grindavik,90,IS,1564856405,87,63.84,-22.43,13.0,2.1
320,Neiafu,90,TO,1564856405,94,-18.65,-173.98,22.0,3.6
321,Eureka,90,US,1564856132,77,40.8,-124.16,25.0,3.1
322,Whitehorse,75,CA,1564856407,52,60.72,-135.06,20.0,1.0
323,El Alto,0,BO,1564856407,6,-16.5,-68.19,12.0,2.6
324,Reshetylivka,84,UA,1564856408,66,49.56,34.08,17.09,2.54
325,Bonthe,100,SL,1564856408,87,7.53,-12.5,24.59,4.69
326,Valley City,40,US,1564856409,78,46.92,-98.0,27.0,4.6
327,Carmen,75,PH,1564856409,88,7.36,125.71,27.0,5.1
328,Isangel,90,VU,1564856410,93,-19.55,169.27,18.0,2.1
329,Antofagasta,0,CL,1564856410,67,-23.65,-70.4,20.56,2.6
330,Maumere,6,ID,1564856411,80,-8.63,122.22,19.89,3.77
331,Tahoua,40,NE,1564856411,38,14.89,5.26,34.0,5.1
332,Fairbanks,75,US,1564856412,93,64.84,-147.72,16.0,1.5
333,Road Town,40,VG,1564856412,74,18.42,-64.62,31.0,6.2
334,Irece,11,BR,1564856413,25,-11.3,-41.86,31.19,2.84
335,Rio Branco,0,BR,1564856319,27,-9.98,-67.82,24.0,5.7
336,Hirara,12,JP,1564856414,82,24.8,125.28,29.09,5.03
337,Wanning,75,AT,1564856414,82,48.64,13.53,19.44,1.5
338,Guadalupe,20,MX,1564856415,36,25.68,-100.26,35.0,3.6
339,Knyaze-Volkonskoye,20,RU,1564856415,100,48.46,135.46,19.0,1.95
340,Mangrol,85,IN,1564856416,71,25.33,76.51,30.99,1.97
341,Ballina,75,IE,1564856417,93,54.11,-9.15,20.0,3.1
342,Requena,0,ES,1564856347,45,39.49,-1.1,30.56,5.1
343,Belyy Yar,0,RU,1564856418,83,53.6,91.39,21.0,1.62
344,Vagur,0,FO,1564856418,88,61.47,-6.81,11.89,4.82
345,Te Anau,72,NZ,1564856419,66,-45.41,167.72,1.29,5.03
346,Verkhoyansk,0,RU,1564856419,57,67.55,133.39,6.99,2.42
347,Davila,20,PH,1564856420,100,18.47,120.58,25.0,1.5
348,Nkayi,9,CG,1564856420,50,-4.18,13.29,27.39,4.5
349,Bainbridge,90,US,1564856421,74,30.9,-84.58,32.22,1.25
350,Chichi,78,NG,1564856421,92,7.27,8.93,22.69,1.86
351,Tazovskiy,12,RU,1564856422,91,67.47,78.7,14.59,5.97
352,Pacific Grove,20,US,1564856422,77,36.62,-121.92,30.56,3.6
353,Manubul,100,PH,1564856423,81,5.47,120.8,27.79,6.21
354,Celendin,20,PE,1564856423,28,-6.87,-78.15,22.0,5.7
355,Alofi,17,NU,1564856423,93,-19.06,-169.92,18.0,0.5
356,Hami,0,CN,1564856424,14,42.84,93.51,31.09,8.0
357,Titay,100,PH,1564856425,94,7.87,122.56,23.59,2.16
358,Urucara,47,BR,1564856425,40,-2.54,-57.76,34.49,1.76
359,The Valley,20,AI,1564856425,70,18.22,-63.06,30.56,6.7
360,Palmer,75,AU,1564856426,76,-34.85,139.16,10.0,3.1
361,Partizanskoye,99,RU,1564856426,45,53.35,78.35,19.29,1.56
362,Changde,83,CN,1564856427,85,29.04,111.68,25.99,1.61
363,Aswan,16,EG,1564856427,13,24.09,32.9,37.59,5.96
364,Lompoc,1,US,1564856434,64,34.64,-120.46,26.11,5.1
365,Tobane,0,BW,1564856434,68,-21.91,28.04,22.0,3.43
366,Kachug,50,RU,1564856435,93,53.96,105.89,15.59,0.72
367,Bitam,69,GA,1564856435,97,2.08,11.49,20.49,1.61
368,Cedar City,1,US,1564856436,25,37.68,-113.06,31.11,1.5
369,Ardesen,0,TR,1564856437,88,41.19,40.99,21.0,3.1
370,Sorland,55,NO,1564856437,83,67.67,12.69,10.09,4.79
371,Smidovich,100,RU,1564856438,91,48.6,133.81,18.79,2.53
372,Atar,0,MR,1564856438,8,20.52,-13.05,44.19,6.14
373,Bodden Town,20,KY,1564856439,66,19.28,-81.25,33.0,5.7
374,Leh,0,IN,1564856439,49,34.16,77.58,10.49,2.07
375,Jonkoping,15,SE,1564856298,82,57.78,14.16,17.22,3.1
376,Fuerte,97,PH,1564856440,80,17.54,120.36,27.79,5.17
